Timestamp;Type(DATA/DATA);Src;Dst;Avg Distance, m;Msg Size;Power;RSSI;Bit errors;Acg Mean
2025-08-05 16:19:09.116;DATA;56;58;0.00;7;42;40;0;14
2025-08-05 16:19:09.855;DATA;56;58;0.00;7;45;42;0;14
2025-08-05 16:19:10.595;DATA;56;58;0.00;7;42;39;0;14
2025-08-05 16:19:11.334;DATA;56;58;0.00;7;42;38;0;14
2025-08-05 16:19:12.072;DATA;56;58;0.00;7;44;40;0;14
2025-08-05 16:19:12.812;DATA;56;58;0.00;7;41;36;0;14
2025-08-05 16:19:13.550;DATA;56;58;0.00;7;44;39;0;14
2025-08-05 16:19:14.289;DATA;56;58;0.00;7;42;40;0;14
2025-08-05 16:19:15.030;DATA;56;58;0.00;7;50;49;0;14
2025-08-05 16:19:15.767;DATA;56;58;0.00;7;43;41;0;14
2025-08-05 16:19:16.506;DATA;56;58;0.00;7;42;40;0;14
2025-08-05 16:19:17.245;DATA;56;58;0.00;7;43;41;0;14
2025-08-05 16:19:17.984;DATA;56;58;0.00;7;44;41;0;14
2025-08-05 16:19:18.723;DATA;56;58;0.00;7;42;38;0;14
2025-08-05 16:19:19.461;DATA;56;58;0.00;7;43;41;0;14
2025-08-05 16:19:20.201;DATA;56;58;0.00;7;50;47;0;14
2025-08-05 16:19:20.940;DATA;56;58;0.00;7;42;40;0;14
2025-08-05 16:19:21.679;DATA;56;58;0.00;7;41;39;0;14
2025-08-05 16:19:22.437;DATA;56;58;0.00;7;43;40;0;14
2025-08-05 16:19:38.744;DATA;56;58;0.00;16;41;37;0;14
2025-08-05 16:19:39.760;DATA;56;58;0.00;16;41;37;0;14
2025-08-05 16:19:40.779;DATA;56;58;0.00;16;47;43;0;14
2025-08-05 16:19:41.797;DATA;56;58;0.00;16;50;45;0;14
2025-08-05 16:19:42.813;DATA;56;58;0.00;16;52;49;0;14
2025-08-05 16:19:43.830;DATA;56;58;0.00;16;44;41;0;14
2025-08-05 16:19:45.938;DATA;56;58;0.00;16;42;40;0;14
2025-08-05 16:19:46.956;DATA;56;58;0.00;16;44;41;0;14
2025-08-05 16:19:47.974;DATA;56;58;0.00;16;44;41;0;14
2025-08-05 16:19:48.990;DATA;56;58;0.00;16;42;39;0;14
2025-08-05 16:19:50.009;DATA;56;58;0.00;16;43;39;0;14
2025-08-05 16:19:51.026;DATA;56;58;0.00;16;42;39;0;14
2025-08-05 16:19:52.043;DATA;56;58;0.00;16;52;49;0;14
2025-08-05 16:19:53.060;DATA;56;58;0.00;16;46;44;0;14
2025-08-05 16:19:54.077;DATA;56;58;0.00;16;49;46;0;14
2025-08-05 16:19:55.095;DATA;56;58;0.00;16;43;41;0;14
2025-08-05 16:19:56.113;DATA;56;58;0.00;16;45;44;0;14
2025-08-05 16:19:58.222;DATA;56;58;0.00;16;42;39;0;14
2025-08-05 16:19:59.238;DATA;56;58;0.00;16;47;41;0;14
2025-08-05 16:20:00.261;DATA;56;58;0.00;16;42;37;0;14
2025-08-05 16:20:28.809;DATA;56;58;0.00;26;45;41;0;14
2025-08-05 16:20:30.165;DATA;56;58;0.00;26;47;43;0;14
2025-08-05 16:20:31.521;DATA;56;58;0.00;26;43;39;0;14
2025-08-05 16:20:32.878;DATA;56;58;0.00;26;43;39;0;14
2025-08-05 16:20:34.235;DATA;56;58;0.00;26;50;45;0;14
2025-08-05 16:20:35.605;DATA;56;58;0.00;26;52;48;0;14
2025-08-05 16:20:36.948;DATA;56;58;0.00;26;42;38;0;14
2025-08-05 16:20:38.304;DATA;56;58;0.00;26;52;46;0;14
2025-08-05 16:20:39.661;DATA;56;58;0.00;26;42;38;0;14
2025-08-05 16:20:41.017;DATA;56;58;0.00;26;43;38;0;14
2025-08-05 16:20:42.373;DATA;56;58;0.00;26;41;37;0;14
2025-08-05 16:20:43.750;DATA;56;58;0.00;26;53;48;0;14
2025-08-05 16:20:45.087;DATA;56;58;0.00;26;51;46;0;14
2025-08-05 16:20:46.443;DATA;56;58;0.00;26;50;46;0;14
2025-08-05 16:20:47.800;DATA;56;58;0.00;26;43;40;0;14
2025-08-05 16:20:49.156;DATA;56;58;0.00;26;40;37;0;14
2025-08-05 16:20:50.513;DATA;56;58;0.00;26;44;40;0;14
2025-08-05 16:20:51.868;DATA;56;58;0.00;26;49;44;0;14
2025-08-05 16:20:53.225;DATA;56;58;0.00;26;50;45;0;14
2025-08-05 16:20:54.581;DATA;56;58;0.00;26;47;42;0;14
